adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
34,29,28,28,29,69760202
33,29,28,28,28,69760220
33,29,28,28,29,69760238
33,29,28,28,28,69760255
33,29,28,28,28,69760273
33,29,28,28,28,69760291
33,29,28,28,29,69760309
33,29,28,28,29,69760327
33,29,28,28,29,69760344
33,29,28,28,29,69760362
33,29,28,29,28,69760380
33,29,28,28,28,69760398
33,29,28,28,29,69760416
33,29,28,28,28,69760433
33,29,28,28,28,69760451
33,29,28,28,28,69760469
33,29,28,28,29,69760487
33,29,28,28,29,69760505
33,29,28,28,29,69760523
32,30,28,28,29,69760540
33,29,28,28,29,69760558
34,29,28,28,29,69760576
33,29,28,28,28,69760594
33,29,28,28,28,69760612
33,29,29,28,28,69760629
33,29,28,28,29,69760647
33,29,28,28,28,69760665
34,28,29,28,29,69760683
34,29,28,28,29,69760701
33,29,28,28,30,69760718
33,29,28,28,28,69760736
34,29,28,28,29,69760754
33,29,28,29,28,69760772
34,29,28,28,29,69760790
34,29,28,28,29,69760808
33,29,28,28,28,69760825
33,29,28,28,28,69760843
33,30,28,28,29,69760861
33,29,28,28,29,69760879
33,29,28,28,29,69760897
33,29,28,28,28,69760914
33,30,27,27,29,69760932
33,29,28,28,29,69760950
33,29,28,28,29,69760968
33,29,28,28,29,69760986
33,29,28,27,29,69761003
34,28,28,28,29,69761021
33,29,28,28,28,69761039
34,29,28,28,29,69761057
34,29,28,28,29,69761075
33,28,28,28,28,69761093
34,29,28,28,29,69761110
34,29,28,28,29,69761128
33,29,28,28,28,69761146
33,28,28,28,29,69761164
33,29,28,28,28,69761182
33,29,28,28,29,69761199
34,29,28,28,28,69761217
33,29,28,28,29,69761235
33,29,28,28,28,69761253
33,29,28,28,28,69761271
33,29,28,28,28,69761288
32,30,28,28,29,69761306
33,29,28,28,28,69761324
33,29,28,28,28,69761342
33,30,28,28,29,69761360
34,29,28,28,29,69761378
33,29,28,28,29,69761395
34,29,28,28,28,69761413
33,29,28,28,28,69761431
34,29,28,28,29,69761449
34,29,28,28,29,69761467
33,29,28,28,28,69761484
33,29,28,28,28,69761502
33,29,28,27,29,69761520
33,28,28,28,29,69761538
33,29,28,28,28,69761556
33,29,28,28,29,69761574
34,29,28,28,29,69761591
33,29,28,28,29,69761609
34,29,28,28,28,69761627
33,29,28,28,29,69761645
33,29,28,28,29,69761663
34,29,28,28,29,69761680
34,29,28,28,29,69761698
33,29,28,28,29,69761716
33,29,28,28,28,69761734
34,29,28,28,28,69761752
33,29,28,28,29,69761769
