adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,28,28,28,29,894796858
33,28,28,28,28,894796876
33,28,28,28,29,894796894
32,30,28,28,28,894796911
33,28,28,28,29,894796929
32,28,27,28,28,894796947
33,28,28,28,29,894796965
33,29,28,28,28,894796983
32,28,28,28,29,894797001
33,28,28,28,28,894797018
33,29,28,28,29,894797036
33,29,28,28,29,894797054
33,29,28,28,29,894797072
33,29,28,28,29,894797090
33,29,28,28,29,894797107
33,29,28,28,29,894797125
32,29,28,28,29,894797143
33,29,28,29,29,894797161
33,29,28,28,29,894797179
33,29,28,28,29,894797196
33,29,28,28,29,894797214
33,29,28,28,28,894797232
33,29,28,28,29,894797250
33,29,29,28,29,894797268
33,29,28,28,29,894797286
33,29,28,28,29,894797303
33,28,28,28,29,894797321
33,29,28,28,29,894797339
33,29,28,28,29,894797357
33,29,28,28,29,894797375
33,29,28,28,29,894797392
33,29,28,28,29,894797410
33,28,27,28,28,894797428
33,29,28,28,28,894797446
33,29,28,28,29,894797464
33,29,28,27,29,894797482
33,29,28,27,29,894797499
32,29,28,28,28,894797517
33,29,28,28,29,894797535
33,29,28,27,29,894797553
33,29,28,28,29,894797571
33,29,28,28,28,894797588
33,29,28,28,29,894797606
33,29,28,29,29,894797624
33,29,28,28,29,894797642
33,29,28,28,29,894797660
33,29,28,27,29,894797677
33,29,28,28,29,894797695
33,29,28,28,29,894797713
33,28,28,28,29,894797731
33,29,28,29,29,894797749
33,29,28,28,29,894797767
33,29,28,28,29,894797784
33,29,28,28,29,894797802
33,29,28,28,28,894797820
33,29,28,28,29,894797838
33,29,27,28,29,894797856
33,29,28,28,28,894797873
32,29,28,28,28,894797891
33,29,28,28,29,894797909
33,29,28,28,29,894797927
33,29,28,28,29,894797945
33,29,28,28,28,894797962
33,29,27,28,29,894797980
33,29,28,27,28,894797998
32,28,28,28,28,894798016
33,28,28,28,28,894798034
33,28,28,28,28,894798052
33,28,28,28,28,894798069
33,28,28,28,29,894798087
33,28,29,28,28,894798105
33,29,28,28,28,894798123
33,28,28,28,29,894798141
33,29,28,28,28,894798158
33,28,28,28,28,894798176
33,28,28,28,29,894798194
33,28,28,28,29,894798212
33,29,28,28,28,894798230
33,28,28,28,29,894798247
32,28,28,27,28,894798265
33,28,28,28,28,894798283
33,28,28,28,29,894798301
33,29,28,28,28,894798319
33,28,28,28,28,894798337
33,29,28,28,29,894798354
33,29,28,28,28,894798372
33,28,27,28,28,894798390
33,28,28,27,28,894798408
32,28,28,28,29,894798426
33,29,28,28,28,894798443
33,28,28,28,28,894798461
33,28,28,28,29,894798479
33,29,27,28,28,894798497
33,28,28,28,28,894798515
33,28,28,28,29,894798532
33,29,28,28,29,894798550
32,28,28,28,28,894798568
33,28,28,28,28,894798586
33,28,28,28,29,894798604
33,29,28,28,28,894798622
32,28,28,28,29,894798639
33,29,28,27,28,894798657
33,29,28,28,28,894798675
33,28,28,28,29,894798693
33,28,27,28,28,894798711
33,28,28,28,29,894798728
33,28,28,28,29,894798746
33,28,28,28,29,894798764
33,28,28,28,28,894798782
33,29,28,29,28,894798800
33,29,28,28,28,894798817
33,28,28,28,28,894798835
33,29,28,28,29,894798853
33,28,27,28,29,894798871
33,28,28,28,29,894798889
33,28,28,28,29,894798907
33,28,28,28,28,894798924
33,28,28,28,29,894798942
33,28,28,27,28,894798960
33,28,28,29,29,894798978
33,28,28,28,29,894798996
33,28,28,28,28,894799013
33,28,28,28,29,894799031
33,28,28,28,28,894799049
33,28,28,28,29,894799067
33,29,28,28,28,894799085
33,28,28,28,29,894799103
33,29,28,28,28,894799120
33,28,27,28,29,894799138
33,28,28,28,28,894799156
33,28,28,28,29,894799174
33,28,28,28,28,894799192
33,29,28,28,29,894799209
33,28,28,27,29,894799227
33,28,28,28,28,894799245
33,28,28,28,29,894799263
33,28,28,28,28,894799281
33,28,28,28,28,894799298
33,28,28,28,28,894799316
33,28,28,28,29,894799334
33,28,28,28,29,894799352
33,28,28,28,29,894799370
33,28,28,28,29,894799388
33,28,28,28,28,894799405
33,28,28,28,29,894799423
33,28,28,28,28,894799441
33,28,28,28,28,894799459
33,28,28,28,28,894799477
32,28,28,28,28,894799494
33,29,28,28,28,894799512
33,28,28,28,29,894799530
33,28,28,28,29,894799548
33,28,28,28,29,894799566
33,28,28,28,29,894799583
33,28,28,28,28,894799601
33,28,28,28,29,894799619
33,28,28,28,28,894799637
33,28,27,28,29,894799655
33,28,28,28,29,894799673
33,28,28,28,29,894799690
33,28,28,28,29,894799708
33,28,28,27,28,894799726
33,28,28,27,29,894799744
33,28,28,28,28,894799762
33,28,28,28,28,894799779
33,28,28,28,28,894799797
33,28,28,28,29,894799815
33,28,28,28,28,894799833
32,29,28,28,29,894799851
33,27,28,28,29,894799869
32,28,28,28,29,894799886
33,29,28,28,28,894799904
33,28,28,28,29,894799922
33,28,28,28,28,894799940
33,28,28,28,29,894799958
33,28,28,28,28,894799975
33,28,28,28,29,894799993
33,29,28,28,29,894800011
33,29,28,28,28,894800029
32,29,28,28,29,894800047
33,29,28,28,29,894800064
33,29,28,28,29,894800082
33,29,28,28,28,894800100
33,29,28,28,29,894800118
33,29,28,28,29,894800136
33,29,28,28,29,894800154
32,28,28,28,28,894800171
33,29,28,28,29,894800189
32,29,28,28,29,894800207
33,28,28,28,29,894800225
33,29,28,28,29,894800243
33,29,28,27,29,894800260
33,29,28,28,29,894800278
33,29,28,28,29,894800296
33,29,28,27,28,894800314
33,29,28,28,29,894800332
33,28,28,28,29,894800349
