adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,29,897792155
34,29,28,28,29,897792172
34,28,28,28,28,897792190
33,29,28,28,28,897792208
34,29,28,28,29,897792226
34,29,28,28,29,897792244
33,29,28,28,28,897792262
33,29,28,27,29,897792279
34,29,28,28,29,897792297
33,29,28,28,29,897792315
33,29,28,27,29,897792333
34,29,28,28,29,897792351
33,29,28,28,29,897792368
33,29,28,28,29,897792386
34,29,28,28,29,897792404
33,29,28,28,29,897792422
34,29,28,28,29,897792440
33,29,28,28,29,897792457
34,29,28,28,29,897792475
33,29,28,28,29,897792493
34,29,28,28,29,897792511
34,29,28,28,29,897792529
33,29,28,28,29,897792547
34,29,28,28,29,897792564
34,29,28,29,29,897792582
33,29,28,28,28,897792600
34,29,28,28,28,897792618
33,29,28,28,29,897792636
33,29,28,28,29,897792653
33,28,28,28,29,897792671
33,29,28,28,29,897792689
34,29,28,28,29,897792707
33,29,28,28,29,897792725
34,29,28,28,28,897792742
33,29,28,28,29,897792760
34,29,28,28,29,897792778
33,29,28,28,29,897792796
34,28,29,28,28,897792814
33,29,28,28,29,897792832
33,29,28,28,29,897792849
33,29,27,29,29,897792867
33,29,28,28,28,897792885
33,29,28,28,29,897792903
34,29,28,28,28,897792921
33,29,28,28,29,897792938
34,29,28,28,28,897792956
33,29,28,28,29,897792974
33,29,28,28,29,897792992
33,30,28,28,29,897793010
34,29,28,28,28,897793027
34,29,28,28,29,897793045
34,29,28,28,28,897793063
34,29,28,28,29,897793081
34,29,28,28,28,897793099
34,28,28,28,28,897793117
34,29,28,28,29,897793134
33,29,28,28,28,897793152
34,29,28,28,29,897793170
34,29,28,28,29,897793188
34,29,28,28,28,897793206
34,29,28,28,29,897793223
34,29,28,28,29,897793241
34,29,28,28,28,897793259
34,29,28,28,29,897793277
34,29,28,28,28,897793295
34,29,28,28,28,897793312
34,29,28,28,29,897793330
34,29,28,28,29,897793348
34,29,28,28,29,897793366
34,29,28,28,29,897793384
34,29,28,28,29,897793402
34,28,28,28,29,897793419
34,29,28,28,29,897793437
34,29,28,28,28,897793455
34,29,29,28,28,897793473
34,29,30,29,25,897793491
34,29,28,27,29,897793508
34,27,28,28,28,897793526
33,28,28,28,29,897793544
33,29,28,28,28,897793562
34,29,28,28,29,897793580
33,29,28,28,28,897793597
34,29,28,28,29,897793615
32,29,29,28,29,897793633
33,29,28,28,28,897793651
34,28,28,28,28,897793669
32,28,27,29,29,897793687
34,29,28,28,28,897793704
34,28,28,28,29,897793722
34,29,28,29,28,897793740
34,29,28,28,29,897793758
34,29,28,28,28,897793776
34,29,28,28,29,897793793
34,29,28,28,28,897793811
33,29,29,28,28,897793829
33,29,28,28,29,897793847
34,29,28,28,29,897793865
34,29,28,28,28,897793883
34,29,28,28,29,897793900
34,29,28,28,28,897793918
34,28,28,28,29,897793936
33,28,28,28,28,897793954
34,29,28,28,28,897793972
34,28,28,28,29,897793989
34,29,28,29,29,897794007
34,29,28,28,29,897794025
33,29,28,28,29,897794043
32,29,28,29,29,897794061
33,29,28,28,28,897794078
34,29,28,28,29,897794096
33,29,28,29,29,897794114
34,29,28,28,28,897794132
33,29,28,28,29,897794150
32,30,27,29,28,897794168
34,29,28,28,29,897794185
34,29,28,28,28,897794203
32,30,28,29,29,897794221
33,29,28,28,28,897794239
34,29,28,28,29,897794257
33,29,28,28,28,897794274
34,29,28,28,29,897794292
34,29,28,28,29,897794310
34,30,28,29,29,897794328
34,29,28,28,29,897794346
34,29,28,28,29,897794363
33,29,27,29,29,897794381
34,29,28,28,29,897794399
33,29,28,28,29,897794417
33,30,27,29,29,897794435
34,29,28,28,29,897794453
33,29,28,28,29,897794470
32,30,27,29,29,897794488
34,29,28,28,29,897794506
34,29,28,28,28,897794524
34,30,28,29,28,897794542
34,29,28,28,29,897794559
34,29,28,28,29,897794577
33,29,28,29,29,897794595
33,29,28,28,29,897794613
34,29,28,28,29,897794631
35,28,29,28,29,897794648
34,29,29,27,29,897794666
34,29,28,28,28,897794684
32,29,28,28,30,897794702
33,29,28,28,29,897794720
33,29,28,28,29,897794738
33,29,28,28,29,897794755
34,29,28,28,29,897794773
34,29,28,28,29,897794791
33,29,28,28,29,897794809
33,29,28,28,28,897794827
34,29,28,28,29,897794844
34,29,27,28,29,897794862
34,29,28,28,28,897794880
33,29,28,28,29,897794898
34,29,28,28,29,897794916
33,29,28,28,28,897794933
34,29,28,28,28,897794951
33,29,28,28,29,897794969
34,29,28,28,28,897794987
34,29,28,28,29,897795005
33,29,28,28,28,897795023
34,29,28,28,29,897795040
34,29,28,28,28,897795058
34,28,28,28,29,897795076
34,29,28,28,28,897795094
34,29,28,28,29,897795112
33,29,28,28,28,897795129
34,29,28,28,29,897795147
34,28,28,28,28,897795165
34,28,28,28,29,897795183
34,29,28,28,28,897795201
33,28,28,28,29,897795218
34,29,28,28,28,897795236
34,29,28,28,29,897795254
33,29,28,28,28,897795272
34,28,28,28,29,897795290
34,29,28,28,29,897795308
33,29,28,28,28,897795325
33,29,28,28,29,897795343
34,29,28,28,28,897795361
34,29,28,28,29,897795379
34,29,28,28,29,897795397
34,29,28,28,29,897795414
34,29,28,28,28,897795432
34,28,28,28,29,897795450
34,29,28,28,29,897795468
34,29,28,28,29,897795486
33,29,28,28,29,897795503
34,29,28,28,29,897795521
34,29,28,28,29,897795539
33,28,28,28,28,897795557
34,28,29,28,28,897795575
34,29,28,28,29,897795593
34,29,28,27,29,897795610
34,29,28,28,29,897795628
34,29,28,28,29,897795646
33,29,28,28,28,897795664
33,29,28,28,28,897795682
34,29,28,28,29,897795699
34,29,28,28,29,897795717
34,29,28,28,29,897795735
34,28,28,28,29,897795753
34,28,28,28,29,897795771
