adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
39,29,29,28,29,184317580
45,29,28,28,29,184317598
42,29,28,28,30,184317616
42,30,28,28,29,184317634
36,29,28,27,29,184317651
38,29,28,28,29,184317669
35,30,28,29,29,184317687
36,29,28,28,29,184317705
39,30,28,29,29,184317723
39,29,28,28,29,184317740
37,29,28,28,29,184317758
38,30,28,28,29,184317776
36,29,28,28,29,184317794
41,29,28,28,29,184317812
38,29,29,28,29,184317830
38,29,28,28,29,184317847
39,29,28,28,29,184317865
36,29,28,28,29,184317883
46,29,28,29,29,184317901
38,29,28,28,29,184317919
42,29,28,29,28,184317936
43,30,28,28,29,184317954
38,29,28,28,29,184317972
40,29,28,28,28,184317990
36,29,28,28,29,184318008
35,29,28,28,29,184318026
37,30,28,28,28,184318043
36,29,28,28,29,184318061
40,29,28,28,29,184318079
35,29,28,28,28,184318097
40,30,28,28,29,184318115
42,29,28,28,29,184318132
36,30,28,27,28,184318150
43,29,28,29,29,184318168
38,29,28,28,28,184318186
36,29,29,29,29,184318204
42,29,28,28,29,184318221
37,29,28,28,28,184318239
43,29,28,28,29,184318257
36,29,29,28,28,184318275
36,29,28,29,29,184318293
38,29,28,28,28,184318311
35,29,28,28,29,184318328
36,29,28,28,29,184318346
36,29,28,28,29,184318364
38,29,28,28,29,184318382
37,29,28,28,29,184318400
39,29,28,28,29,184318417
36,30,28,28,29,184318435
38,29,28,28,29,184318453
36,29,28,28,28,184318471
37,29,28,28,29,184318489
36,30,28,28,29,184318506
38,29,28,28,29,184318524
36,29,28,28,29,184318542
37,29,28,28,28,184318560
36,30,28,28,29,184318578
41,29,28,28,29,184318596
39,29,29,28,29,184318613
41,29,27,28,29,184318631
36,29,28,28,29,184318649
36,29,28,28,29,184318667
38,29,28,28,28,184318685
39,29,28,28,29,184318702
36,30,28,28,29,184318720
36,29,28,28,29,184318738
39,29,28,28,29,184318756
36,30,28,28,29,184318774
45,29,28,28,28,184318792
45,29,28,28,29,184318809
37,29,28,28,29,184318827
42,29,28,28,29,184318845
35,31,28,28,29,184318863
39,29,28,28,28,184318881
38,29,28,29,29,184318898
39,29,28,29,28,184318916
40,29,29,28,29,184318934
38,30,28,28,29,184318952
38,30,28,28,28,184318970
36,30,28,28,28,184318987
37,29,28,28,29,184319005
35,29,28,27,29,184319023
36,29,29,28,29,184319041
38,29,28,28,28,184319059
36,29,28,28,29,184319077
34,29,28,28,29,184319094
39,30,28,28,29,184319112
38,30,28,28,29,184319130
35,29,28,28,29,184319148
39,29,28,28,29,184319166
45,29,29,28,29,184319183
38,29,28,28,29,184319201
35,29,29,28,29,184319219
35,29,28,28,29,184319237
35,29,28,28,29,184319255
44,29,28,28,29,184319272
35,29,28,28,29,184319290
37,29,28,28,29,184319308
35,29,28,28,29,184319326
40,29,28,28,29,184319344
36,29,28,28,29,184319362
37,29,28,29,29,184319379
39,29,29,28,29,184319397
40,29,28,28,29,184319415
39,29,28,28,29,184319433
38,29,28,27,28,184319451
37,29,28,28,29,184319468
37,30,27,28,29,184319486
36,29,29,28,28,184319504
35,29,28,28,29,184319522
38,29,28,28,28,184319540
37,28,28,28,30,184319557
38,29,28,27,29,184319575
36,30,28,28,29,184319593
35,29,28,28,28,184319611
42,29,28,28,29,184319629
43,30,28,28,29,184319647
37,30,28,28,29,184319664
37,29,28,28,29,184319682
35,29,28,28,28,184319700
45,30,28,28,29,184319718
36,29,29,28,29,184319736
41,30,27,28,28,184319753
38,31,28,28,29,184319771
38,29,28,29,29,184319789
38,29,28,28,29,184319807
37,29,28,28,28,184319825
37,29,28,28,29,184319842
41,29,29,28,29,184319860
35,29,28,28,29,184319878
39,29,28,28,29,184319896
38,29,28,28,29,184319914
35,30,28,28,29,184319932
37,29,28,28,28,184319949
36,29,28,28,29,184319967
38,29,28,28,29,184319985
36,30,29,28,29,184320003
37,28,28,28,29,184320021
37,29,27,28,29,184320038
37,29,28,28,29,184320056
43,29,28,29,28,184320074
38,30,29,28,29,184320092
42,29,29,28,28,184320110
42,29,28,28,29,184320127
43,29,28,28,28,184320145
35,29,27,27,29,184320163
38,29,28,28,29,184320181
41,29,29,28,29,184320199
37,29,28,28,29,184320217
46,29,28,28,28,184320234
46,29,28,28,28,184320252
34,29,28,28,29,184320270
36,29,28,28,29,184320288
47,29,28,28,29,184320306
40,29,28,28,29,184320323
39,29,28,28,29,184320341
35,30,28,28,29,184320359
