adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,29,74720041
33,29,28,28,29,74720059
33,29,28,28,29,74720077
33,29,28,28,28,74720094
34,29,28,28,28,74720112
33,29,28,28,28,74720130
33,29,28,28,28,74720148
33,29,28,28,28,74720166
33,29,28,28,28,74720184
34,29,28,28,28,74720201
33,29,28,28,29,74720219
33,29,28,29,29,74720237
34,29,28,28,29,74720255
33,29,28,28,29,74720273
33,29,28,28,28,74720290
33,29,28,28,29,74720308
33,29,28,28,29,74720326
33,29,28,28,29,74720344
33,29,28,28,29,74720362
33,29,28,28,28,74720379
33,29,28,28,29,74720397
33,29,28,28,28,74720415
34,29,28,28,29,74720433
33,29,28,28,28,74720451
33,29,28,28,29,74720469
33,29,29,28,28,74720486
33,29,28,28,29,74720504
33,29,28,28,29,74720522
34,29,28,28,29,74720540
33,29,28,28,28,74720558
34,29,28,28,28,74720575
33,29,28,28,29,74720593
33,29,28,28,29,74720611
34,28,28,28,29,74720629
33,29,28,28,29,74720647
33,29,28,28,28,74720665
34,29,28,28,29,74720682
33,29,28,28,28,74720700
33,29,28,28,28,74720718
33,29,29,28,28,74720736
33,29,28,28,29,74720754
33,29,28,28,29,74720771
33,29,28,28,28,74720789
33,29,28,28,29,74720807
33,29,28,28,29,74720825
33,29,28,28,29,74720843
33,29,28,28,29,74720860
33,29,28,28,29,74720878
33,29,28,28,28,74720896
34,29,28,27,29,74720914
33,29,28,28,28,74720932
33,29,28,28,29,74720950
34,29,28,28,29,74720967
34,29,28,28,29,74720985
33,29,28,28,28,74721003
33,29,28,28,28,74721021
34,29,28,29,29,74721039
34,29,28,28,28,74721056
33,29,28,28,29,74721074
33,29,28,28,28,74721092
33,29,28,28,28,74721110
34,29,28,28,28,74721128
33,29,28,28,28,74721146
33,29,28,28,28,74721163
33,29,28,28,29,74721181
34,29,28,28,28,74721199
33,29,28,28,29,74721217
33,29,28,28,29,74721235
34,29,28,28,29,74721252
33,29,28,28,29,74721270
34,29,28,28,28,74721288
33,29,28,28,29,74721306
33,30,28,27,28,74721324
33,29,28,28,28,74721341
33,29,28,28,28,74721359
33,29,28,28,28,74721377
33,29,28,28,28,74721395
34,29,28,28,29,74721413
33,29,28,28,28,74721431
33,29,28,28,28,74721448
33,29,28,28,29,74721466
34,29,28,28,29,74721484
33,29,28,28,28,74721502
33,29,28,28,29,74721520
33,29,28,28,28,74721537
33,29,29,29,29,74721555
34,29,28,28,28,74721573
33,28,28,28,29,74721591
33,29,28,28,28,74721609
33,29,28,28,28,74721626
33,29,28,28,28,74721644
33,29,28,28,29,74721662
33,29,28,28,28,74721680
33,29,28,28,29,74721698
33,29,28,28,28,74721716
34,29,28,28,29,74721733
33,29,28,28,28,74721751
33,28,27,27,29,74721769
33,29,28,28,28,74721787
33,29,28,28,28,74721805
33,29,28,28,29,74721822
33,29,28,28,29,74721840
33,29,28,28,28,74721858
33,29,28,28,28,74721876
33,29,28,28,29,74721894
34,29,28,28,29,74721912
34,29,28,28,29,74721929
33,29,28,28,28,74721947
33,29,28,28,28,74721965
