adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,29,93659743
33,29,28,28,29,93659760
34,29,28,28,28,93659778
33,28,28,28,29,93659796
33,29,28,28,29,93659814
33,28,28,28,29,93659832
33,29,28,28,29,93659850
34,29,28,28,29,93659867
33,29,28,28,29,93659885
33,28,28,28,29,93659903
33,29,28,28,29,93659921
33,29,28,28,28,93659939
34,29,28,28,29,93659956
33,29,28,28,29,93659974
34,29,28,28,29,93659992
32,29,28,28,29,93660010
34,28,28,28,29,93660028
33,28,28,28,29,93660045
33,29,28,28,29,93660063
33,28,28,28,29,93660081
34,28,28,28,29,93660099
33,29,28,28,29,93660117
33,28,28,28,29,93660134
33,29,28,28,29,93660152
33,28,28,28,29,93660170
33,28,28,28,29,93660188
33,28,28,28,29,93660206
33,29,28,28,29,93660224
33,28,28,28,29,93660241
33,29,28,28,29,93660259
34,29,28,28,28,93660277
33,29,28,27,29,93660295
34,28,28,28,29,93660313
33,28,28,28,28,93660330
34,28,28,28,28,93660348
33,28,28,28,29,93660366
33,28,28,28,29,93660384
34,29,28,28,29,93660402
33,28,28,28,29,93660420
34,28,27,28,28,93660437
33,28,28,28,29,93660455
34,29,27,28,28,93660473
33,28,28,28,28,93660491
33,29,29,28,29,93660509
33,29,28,28,29,93660526
33,28,28,28,28,93660544
32,29,28,28,29,93660562
33,28,28,28,29,93660580
33,29,28,28,29,93660598
34,28,28,28,29,93660615
33,29,28,28,29,93660633
34,28,28,28,29,93660651
33,28,28,28,29,93660669
34,28,28,28,29,93660687
33,28,28,28,28,93660705
33,28,28,28,29,93660722
33,28,28,28,29,93660740
33,29,28,28,29,93660758
33,29,28,28,29,93660776
33,28,28,28,29,93660794
33,29,28,28,28,93660811
33,28,28,28,29,93660829
33,28,28,28,29,93660847
33,28,28,28,29,93660865
33,29,28,28,29,93660883
33,29,28,27,29,93660900
33,28,28,28,28,93660918
33,28,28,28,29,93660936
34,29,28,28,28,93660954
33,29,28,29,29,93660972
34,28,28,28,28,93660990
33,29,28,27,29,93661007
33,29,28,28,28,93661025
33,28,28,29,29,93661043
34,29,28,28,29,93661061
33,29,28,28,29,93661079
34,28,27,28,29,93661096
33,29,28,28,29,93661114
34,29,28,28,29,93661132
33,29,28,28,29,93661150
33,29,28,28,29,93661168
34,29,28,28,29,93661185
32,29,28,28,29,93661203
33,28,28,28,29,93661221
33,29,28,28,29,93661239
33,29,28,28,29,93661257
33,29,28,28,29,93661275
33,28,28,28,29,93661292
34,29,28,28,29,93661310
33,29,28,28,28,93661328
33,29,28,28,29,93661346
33,29,28,28,29,93661364
34,29,28,28,29,93661381
33,28,28,28,29,93661399
33,29,28,28,29,93661417
33,29,28,28,29,93661435
33,29,28,28,29,93661453
34,29,28,28,29,93661470
33,29,28,28,29,93661488
33,29,28,28,29,93661506
34,28,28,28,29,93661524
33,28,28,28,29,93661542
34,29,28,28,29,93661560
33,28,28,28,29,93661577
34,29,28,28,29,93661595
33,28,28,28,29,93661613
33,29,28,28,28,93661631
34,29,28,28,29,93661649
33,29,28,28,29,93661666
33,28,28,28,29,93661684
33,29,28,28,29,93661702
33,29,28,28,29,93661720
33,29,28,28,29,93661738
33,29,28,28,29,93661755
33,29,28,27,28,93661773
33,29,28,28,29,93661791
34,29,28,28,29,93661809
33,29,28,28,29,93661827
33,29,28,28,29,93661845
33,29,28,28,29,93661862
33,29,28,28,29,93661880
