time_s,adc_23,adc_21,adc_19,adc_17,adc_15
0.00024700164794921875,12,11,11,10,11
0.0003902912139892578,12,11,11,10,11
0.000514984130859375,12,12,11,10,10
0.0006361007690429688,12,11,11,11,11
0.0007467269897460938,12,11,11,11,11
0.0008585453033447266,12,12,11,11,11
0.0009686946868896484,12,11,11,11,11
0.0010800361633300781,12,11,11,10,10
0.0011878013610839844,12,11,11,11,11
0.0012841224670410156,12,11,11,11,11
0.0013802051544189453,12,11,11,11,11
0.001476287841796875,12,11,11,11,11
0.0015730857849121094,12,11,10,11,11
0.0016810894012451172,12,11,11,10,10
0.0017788410186767578,12,11,11,11,11
0.0018763542175292969,12,11,11,10,10
0.0019752979278564453,12,11,11,10,11
0.002071380615234375,12,11,11,11,10
0.0021674633026123047,12,11,11,10,11
0.0022635459899902344,12,11,11,10,10
0.0023593902587890625,12,11,11,11,10
0.002455472946166992,13,11,11,10,10
0.0025675296783447266,12,11,11,11,10
0.0026826858520507812,11,12,11,11,11
0.0027878284454345703,12,11,11,10,10
0.0030698776245117188,12,12,10,10,11
0.003166675567626953,11,10,11,11,11
0.0032629966735839844,13,11,10,11,11
0.0033588409423828125,12,11,11,10,11
0.003454923629760742,12,12,11,11,10
0.003551006317138672,11,11,11,11,10
0.0036592483520507812,12,11,10,10,11
0.003755331039428711,12,17,11,11,10
0.003851652145385742,12,11,11,11,11
0.0039479732513427734,12,11,11,11,11
0.004044294357299805,12,12,11,10,10
0.004140138626098633,12,11,11,11,11
0.0042362213134765625,12,11,11,11,10
0.004332304000854492,12,12,10,10,10
0.004427909851074219,12,11,11,11,10
0.0045239925384521484,12,11,11,11,11
0.004625558853149414,12,11,11,11,11
0.0047223567962646484,12,11,11,11,11
0.0048182010650634766,12,11,11,10,11
0.0049135684967041016,12,12,11,10,11
0.005009651184082031,12,11,11,11,10
0.005105257034301758,12,11,11,11,10
0.005201101303100586,12,11,11,11,11
0.00529789924621582,12,11,12,10,10
0.0053937435150146484,12,11,11,11,11
0.005489826202392578,12,11,11,10,11
0.005585908889770508,12,12,11,10,10
0.005692243576049805,12,11,11,11,11
0.005794048309326172,12,11,11,11,11
0.005890846252441406,12,11,11,10,10
0.005986928939819336,12,11,11,11,10
0.00608372688293457,12,11,11,10,11
0.0061798095703125,12,11,11,11,11
0.006276369094848633,12,11,11,10,10
0.0063724517822265625,12,11,11,11,11
0.006468772888183594,12,11,11,11,10
0.0065653324127197266,12,11,11,11,11
