time_s,adc_value
0.00020956993103027344,0
0.0002636909484863281,1
0.0003097057342529297,0
0.000354766845703125,1
0.0003993511199951172,0
0.0004630088806152344,0
0.0005061626434326172,0
0.0005483627319335938,0
0.0005919933319091797,0
0.0006339550018310547,0
0.0006761550903320312,0
0.0007183551788330078,0
0.0007596015930175781,0
0.0008013248443603516,0
0.0008425712585449219,0
0.0008842945098876953,0
0.0009255409240722656,0
0.0009672641754150391,0
0.001008749008178711,0
0.001051187515258789,0
0.0010921955108642578,0
0.001132965087890625,0
0.0011744499206542969,0
0.0012197494506835938,0
0.001262664794921875,0
0.0013043880462646484,0
0.0013453960418701172,0
0.0013966560363769531,0
0.0014498233795166016,0
0.0014922618865966797,1
0.0015342235565185547,0
0.001575469970703125,1
0.001617431640625,0
0.0016658306121826172,0
0.0017075538635253906,0
0.001749277114868164,0
0.0017914772033691406,0
0.0018336772918701172,0
0.0018756389617919922,0
0.0019164085388183594,0
0.0019609928131103516,0
0.0020055770874023438,0
0.0020487308502197266,0
0.002090930938720703,0
0.0021331310272216797,0
0.0021746158599853516,0
0.002216339111328125,0
0.00225830078125,0
0.002299785614013672,0
0.00234222412109375,0
0.002384185791015625,1
0.002441883087158203,0
0.0024852752685546875,0
0.002527952194213867,0
0.0025696754455566406,0
0.002611875534057617,0
0.002653360366821289,1
0.0026950836181640625,0
0.002736330032348633,0
0.002778291702270508,0
0.002820730209350586,0
0.002862691879272461,0
0.002904653549194336,0
0.002950429916381836,0
0.002996683120727539,0
0.003039836883544922,0
0.003082752227783203,0
0.0031239986419677734,0
0.0031654834747314453,0
0.0032072067260742188,0
0.0032482147216796875,0
0.003289937973022461,0
0.003331899642944336,0
0.0033745765686035156,0
0.003417491912841797,0
0.0034728050231933594,0
0.0035164356231689453,0
0.003558635711669922,0
0.003599882125854492,0
0.003640890121459961,0
0.003684520721435547,1
0.0037255287170410156,0
0.003768444061279297,0
0.003810882568359375,0
0.0038518905639648438,1
0.0038933753967285156,0
0.003934383392333984,1
0.003979682922363281,0
0.004023075103759766,0
0.004064798355102539,0
0.004105806350708008,0
0.00414729118347168,0
0.004189491271972656,0
0.0042324066162109375,0
0.004273653030395508,0
0.004312276840209961,0
0.0043528079986572266,0
0.004394054412841797,0
0.004447460174560547,0
0.004488945007324219,0
0.004530191421508789,0
0.004571437835693359,0
0.0046122074127197266,0
0.004651784896850586,0
0.004693031311035156,0
0.0047338008880615234,0
0.004774570465087891,0
0.0048139095306396484,0
0.004857778549194336,0
0.004901409149169922,0
0.004943132400512695,0
0.004984140396118164,0
0.0050258636474609375,0
0.005067586898803711,0
0.0051097869873046875,0
0.005150556564331055,0
0.005191802978515625,0
0.005233049392700195,0
0.005274772644042969,0
0.005316257476806641,1
0.005358457565307617,0
0.005401134490966797,0
0.005456209182739258,0
0.005499601364135742,0
0.005541324615478516,0
0.0055849552154541016,0
0.00562739372253418,0
0.0056688785552978516,0
0.00571131706237793,0
0.005753755569458008,0
0.005795717239379883,0
0.005838632583618164,0
0.005880594253540039,0
0.005922794342041016,0
0.005963325500488281,0
0.006005287170410156,0
0.0060465335845947266,1
0.006092548370361328,0
0.006135702133178711,1
0.0061779022216796875,0
0.006220817565917969,0
