adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,29,507749489
33,29,28,28,29,507749507
33,29,28,28,29,507749525
34,29,28,28,29,507749543
34,29,28,28,29,507749561
34,29,28,28,29,507749578
33,29,28,28,29,507749596
34,29,28,28,28,507749614
33,29,28,28,29,507749632
33,29,28,28,29,507749650
33,29,28,28,29,507749667
34,29,28,28,29,507749685
33,29,28,28,29,507749703
34,29,28,28,29,507749721
33,29,28,28,29,507749739
34,29,28,28,29,507749757
33,29,28,28,29,507749774
34,29,29,28,29,507749792
33,29,28,28,29,507749810
33,29,28,28,29,507749828
33,29,28,28,29,507749846
34,29,28,28,28,507749863
34,29,28,28,29,507749881
33,29,28,28,29,507749899
34,29,28,28,29,507749917
33,29,28,28,29,507749935
32,28,27,27,29,507749953
33,29,28,28,29,507749970
34,29,27,28,29,507749988
34,29,28,28,29,507750006
34,29,28,28,29,507750024
34,29,28,28,29,507750042
34,29,28,28,29,507750059
34,29,28,28,29,507750077
34,29,28,28,29,507750095
34,29,28,28,29,507750113
34,29,28,28,29,507750131
34,29,28,28,29,507750148
34,29,28,28,29,507750166
34,29,28,28,29,507750184
34,29,28,28,29,507750202
33,29,28,28,29,507750220
34,29,28,28,29,507750238
34,29,28,28,29,507750255
34,29,28,28,29,507750273
34,29,28,28,29,507750291
34,29,28,28,29,507750309
34,29,28,28,29,507750327
34,29,28,28,29,507750344
34,29,28,28,29,507750362
33,29,28,28,28,507750380
34,29,28,28,29,507750398
34,29,28,28,29,507750416
33,29,28,28,29,507750433
34,29,28,28,29,507750451
33,29,28,28,29,507750469
34,29,28,28,29,507750487
34,29,28,28,29,507750505
34,29,28,28,29,507750523
33,29,28,28,29,507750540
33,29,28,28,29,507750558
33,29,28,28,28,507750576
34,29,28,28,29,507750594
34,29,28,28,29,507750612
34,29,28,28,29,507750629
34,29,28,28,29,507750647
34,29,28,28,29,507750665
34,29,28,28,29,507750683
34,29,28,28,29,507750701
34,29,28,28,29,507750718
33,29,28,28,29,507750736
34,29,28,28,29,507750754
34,29,28,28,29,507750772
34,29,28,28,29,507750790
34,29,28,28,29,507750808
33,29,28,28,29,507750825
34,29,28,28,29,507750843
34,29,28,28,29,507750861
34,28,28,28,29,507750879
34,29,28,28,29,507750897
34,29,28,28,29,507750914
34,29,29,29,30,507750932
34,29,28,28,29,507750950
32,28,27,28,29,507750968
34,29,28,28,29,507750986
34,29,28,28,29,507751003
34,29,28,28,29,507751021
34,29,28,28,29,507751039
34,29,28,28,29,507751057
33,29,28,28,29,507751075
34,29,28,28,29,507751093
34,29,28,28,28,507751110
34,28,28,28,29,507751128
34,29,28,28,28,507751146
34,29,28,28,29,507751164
33,29,28,28,29,507751182
34,29,28,28,28,507751199
33,29,28,28,29,507751217
34,29,28,28,29,507751235
34,29,28,28,29,507751253
33,29,28,28,29,507751271
34,29,28,28,29,507751288
34,29,28,28,29,507751306
34,29,28,28,29,507751324
34,29,27,28,29,507751342
34,29,28,28,29,507751360
34,29,28,28,29,507751378
34,29,28,28,29,507751395
33,29,29,14,29,507751413
34,29,28,28,29,507751431
34,29,27,24,29,507751449
34,29,28,28,29,507751467
33,28,28,28,28,507751484
34,29,28,28,29,507751502
34,29,28,28,29,507751520
34,29,28,28,28,507751538
33,29,28,28,29,507751556
34,29,28,28,29,507751574
34,29,28,28,28,507751591
34,29,28,28,29,507751609
33,29,28,28,29,507751627
34,29,28,28,29,507751645
33,29,28,28,28,507751663
33,29,28,28,29,507751680
33,29,28,28,29,507751698
34,29,28,28,29,507751716
34,29,28,28,29,507751734
33,29,28,28,29,507751752
34,29,28,28,29,507751769
34,29,28,28,29,507751787
34,29,28,28,29,507751805
33,29,28,28,29,507751823
34,29,28,28,29,507751841
34,29,28,28,29,507751859
33,29,28,28,29,507751876
34,28,28,29,29,507751894
33,29,28,28,29,507751912
33,29,29,29,29,507751930
34,29,28,28,29,507751948
33,29,28,28,29,507751965
34,29,28,28,29,507751983
33,29,28,28,29,507752001
33,29,28,28,29,507752019
33,29,28,28,29,507752037
33,29,28,28,29,507752054
33,29,28,28,29,507752072
33,29,28,28,29,507752090
33,29,28,28,29,507752108
33,29,28,28,29,507752126
33,29,28,28,29,507752144
33,29,28,28,29,507752161
33,29,28,28,28,507752179
33,29,28,28,29,507752197
33,29,28,28,29,507752215
33,29,28,28,29,507752233
33,29,28,28,29,507752250
33,29,28,28,29,507752268
33,29,28,28,29,507752286
33,29,28,28,29,507752304
33,29,28,28,29,507752322
33,29,27,28,28,507752339
33,29,28,28,29,507752357
33,29,28,28,29,507752375
33,29,27,27,28,507752393
33,29,28,28,29,507752411
33,29,28,28,29,507752429
33,29,28,28,29,507752446
33,29,28,28,29,507752464
33,29,28,28,29,507752482
33,29,28,28,29,507752500
33,29,28,28,29,507752518
33,29,28,28,29,507752535
33,29,28,28,29,507752553
34,29,28,28,29,507752571
34,29,28,28,29,507752589
33,28,28,28,29,507752607
33,29,28,28,29,507752624
33,29,28,29,29,507752642
33,29,28,28,29,507752660
33,29,27,28,29,507752678
33,29,28,28,29,507752696
33,29,28,28,29,507752714
34,29,28,28,29,507752731
33,29,28,28,29,507752749
34,29,28,28,29,507752767
33,29,28,28,29,507752785
33,29,28,28,29,507752803
33,30,28,27,28,507752820
33,29,28,28,29,507752838
33,29,27,28,29,507752856
33,29,28,28,29,507752874
33,29,28,29,29,507752892
32,29,28,28,29,507752910
33,29,28,28,29,507752927
33,29,28,28,29,507752945
33,29,28,28,29,507752963
33,30,28,27,28,507752981
33,29,28,28,29,507752999
33,29,28,28,29,507753016
34,29,28,28,29,507753034
33,29,28,28,29,507753052
33,29,28,28,29,507753070
33,29,28,28,29,507753088
33,29,28,28,29,507753105
33,29,28,28,29,507753123
34,29,28,28,28,507753141
33,29,28,28,29,507753159
33,29,28,28,29,507753177
34,29,28,28,29,507753195
33,30,28,28,29,507753212
33,29,28,28,29,507753230
33,29,28,28,29,507753248
33,29,28,28,29,507753266
34,29,28,28,29,507753284
34,29,28,28,29,507753301
33,29,28,28,29,507753319
33,29,28,28,28,507753337
33,29,28,28,29,507753355
33,29,28,28,29,507753373
33,29,28,28,29,507753390
33,29,28,28,29,507753408
33,30,28,29,29,507753426
33,29,28,28,29,507753444
33,29,28,28,29,507753462
33,29,28,28,29,507753480
34,29,28,28,29,507753497
34,29,28,28,29,507753515
34,29,28,28,29,507753533
34,29,28,28,29,507753551
33,29,27,28,29,507753569
34,29,28,28,29,507753586
33,29,28,28,28,507753604
33,29,28,28,29,507753622
34,29,28,28,29,507753640
34,29,28,28,29,507753658
34,29,28,28,29,507753675
33,29,28,28,29,507753693
33,29,28,28,29,507753711
34,29,28,28,29,507753729
34,29,28,28,29,507753747
34,29,28,28,29,507753765
33,29,28,28,29,507753782
34,29,28,28,28,507753800
34,29,28,28,29,507753818
33,29,28,28,29,507753836
34,29,28,28,29,507753854
33,30,28,28,29,507753871
33,29,28,28,29,507753889
33,29,28,28,29,507753907
33,29,28,28,29,507753925
33,29,28,28,28,507753943
33,29,28,27,28,507753960
33,29,28,28,29,507753978
34,29,28,28,29,507753996
34,29,28,28,29,507754014
33,29,28,28,29,507754032
34,29,28,28,28,507754050
34,29,28,28,29,507754067
33,29,28,28,29,507754085
33,29,28,28,29,507754103
34,29,28,28,29,507754121
34,29,28,28,29,507754139
34,29,28,28,29,507754156
34,29,28,28,29,507754174
34,29,28,28,29,507754192
33,29,28,28,28,507754210
34,29,28,28,29,507754228
34,29,28,28,29,507754245
34,29,28,28,29,507754263
34,29,28,28,29,507754281
34,29,28,28,29,507754299
34,29,28,28,29,507754317
34,29,28,28,29,507754335
34,29,28,28,28,507754352
33,29,29,28,29,507754370
34,29,28,28,29,507754388
34,29,28,28,29,507754406
34,29,28,28,29,507754424
34,29,28,28,29,507754441
33,29,28,28,29,507754459
34,29,28,28,29,507754477
33,29,28,28,29,507754495
34,29,28,28,29,507754513
34,29,28,28,29,507754530
33,29,28,28,29,507754548
34,29,28,28,29,507754566
34,29,28,28,29,507754584
34,29,28,28,29,507754602
34,29,28,28,29,507754620
33,29,28,28,29,507754637
34,29,28,28,28,507754655
33,29,28,27,29,507754673
34,29,28,28,29,507754691
34,29,28,28,30,507754709
34,29,28,28,29,507754726
34,28,28,28,29,507754744
33,29,28,28,29,507754762
34,29,28,28,29,507754780
33,29,28,28,29,507754798
33,29,28,28,29,507754816
34,29,28,28,28,507754833
34,29,28,28,29,507754851
34,29,28,28,29,507754869
34,28,28,29,29,507754887
34,29,28,28,29,507754905
33,29,28,27,29,507754922
34,29,28,28,29,507754940
34,29,28,28,29,507754958
33,28,29,27,29,507754976
34,29,28,28,29,507754994
33,29,28,28,29,507755011
34,29,28,28,29,507755029
34,29,28,28,29,507755047
33,29,28,28,29,507755065
34,29,28,28,29,507755083
33,29,28,28,29,507755101
33,29,28,28,29,507755118
34,29,28,28,29,507755136
33,29,28,28,29,507755154
33,29,28,28,29,507755172
34,28,28,28,28,507755190
33,29,28,28,29,507755207
34,29,28,28,29,507755225
34,29,27,28,29,507755243
34,29,28,28,29,507755261
34,29,27,29,29,507755279
33,29,28,28,29,507755296
34,29,28,28,29,507755314
33,29,28,28,29,507755332
34,29,28,28,29,507755350
33,29,28,28,29,507755368
34,29,28,28,29,507755386
34,29,28,28,29,507755403
34,29,28,28,28,507755421
34,29,28,28,28,507755439
34,29,28,28,28,507755457
34,29,28,27,29,507755475
34,28,28,28,29,507755492
34,29,28,28,28,507755510
34,29,28,28,28,507755528
34,29,28,28,29,507755546
34,29,28,29,29,507755564
33,29,28,28,29,507755581
33,29,28,28,29,507755599
34,29,28,28,29,507755617
34,29,28,28,29,507755635
34,29,28,28,29,507755653
33,29,27,28,29,507755671
34,29,28,28,28,507755688
34,29,28,28,29,507755706
34,29,28,28,29,507755724
34,29,28,28,29,507755742
34,29,28,28,29,507755760
34,29,28,28,29,507755777
34,29,28,28,29,507755795
33,29,28,28,29,507755813
34,29,28,28,29,507755831
34,29,28,28,29,507755849
33,29,28,28,29,507755866
34,29,28,28,29,507755884
34,29,28,28,29,507755902
33,29,27,29,29,507755920
34,29,28,28,29,507755938
34,29,28,28,29,507755956
33,29,28,29,28,507755973
34,29,28,28,29,507755991
33,28,28,28,29,507756009
33,29,28,28,28,507756027
34,29,28,28,29,507756045
33,29,28,28,29,507756062
33,29,28,28,29,507756080
33,29,27,28,29,507756098
33,29,28,28,29,507756116
34,29,28,28,29,507756134
33,29,28,28,29,507756152
33,29,28,28,29,507756169
33,29,28,28,29,507756187
33,29,28,28,29,507756205
33,29,28,28,29,507756223
33,29,28,28,29,507756241
33,29,28,28,29,507756258
33,29,28,28,29,507756276
33,29,28,28,29,507756294
