adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
34,29,28,28,28,336374705
33,29,28,28,28,336374723
34,29,28,28,28,336374741
32,29,28,28,28,336374758
33,29,28,28,28,336374776
33,29,28,28,29,336374794
34,29,28,28,28,336374812
32,29,28,28,28,336374830
33,29,28,28,28,336374848
32,28,28,28,29,336374865
33,29,28,28,28,336374883
32,29,28,28,28,336374901
34,29,28,28,28,336374919
33,29,28,28,29,336374937
33,29,28,28,28,336374954
33,29,28,28,28,336374972
33,29,28,28,28,336374990
32,29,28,28,29,336375008
32,29,28,28,28,336375026
33,29,28,28,29,336375043
33,29,28,28,28,336375061
33,29,28,28,29,336375079
34,29,28,28,28,336375097
33,29,28,28,29,336375115
33,29,28,28,29,336375133
33,29,28,28,29,336375150
33,29,28,28,28,336375168
33,28,28,28,28,336375186
33,29,28,28,28,336375204
33,29,28,28,29,336375222
33,29,28,28,29,336375239
33,29,28,28,28,336375257
33,29,28,28,28,336375275
33,28,28,28,29,336375293
33,29,28,28,29,336375311
33,29,28,28,28,336375329
33,29,28,28,29,336375346
33,29,28,28,29,336375364
32,29,28,28,29,336375382
33,29,28,28,28,336375400
33,29,28,28,29,336375418
33,29,29,28,28,336375435
33,29,28,28,29,336375453
33,29,28,28,28,336375471
33,29,28,28,29,336375489
33,29,28,28,29,336375507
33,29,28,28,29,336375524
33,29,28,28,29,336375542
33,29,28,28,28,336375560
33,29,29,27,28,336375578
33,28,28,28,28,336375596
33,29,28,28,28,336375614
33,30,28,28,29,336375631
33,29,28,28,28,336375649
33,29,28,28,29,336375667
33,29,28,28,29,336375685
33,29,28,28,29,336375703
34,29,28,28,28,336375720
33,29,27,28,29,336375738
33,29,28,28,29,336375756
33,29,28,28,29,336375774
33,29,28,28,29,336375792
33,29,28,28,29,336375809
33,29,28,28,29,336375827
33,29,28,28,29,336375845
33,29,28,28,29,336375863
33,29,28,28,28,336375881
33,29,28,28,29,336375899
33,29,28,28,28,336375916
33,29,28,28,29,336375934
33,29,28,28,28,336375952
33,29,28,28,29,336375970
33,29,28,29,28,336375988
33,29,28,28,28,336376005
33,29,28,28,29,336376023
33,29,28,28,29,336376041
33,29,28,28,29,336376059
34,29,28,28,29,336376077
33,29,29,28,28,336376094
34,29,28,28,28,336376112
33,29,27,28,29,336376130
33,29,28,28,28,336376148
33,29,28,28,29,336376166
34,29,28,28,28,336376184
33,29,29,27,29,336376201
33,29,28,28,29,336376219
33,29,28,28,29,336376237
33,29,28,28,29,336376255
33,29,28,28,29,336376273
33,29,29,28,28,336376290
33,29,28,28,29,336376308
33,29,28,28,29,336376326
33,29,28,28,29,336376344
33,29,28,28,29,336376362
33,29,28,28,29,336376379
33,29,28,28,28,336376397
33,29,28,28,28,336376415
33,29,28,28,28,336376433
33,29,28,28,29,336376451
33,29,28,28,29,336376469
33,29,28,28,29,336376486
33,29,28,28,28,336376504
33,29,28,28,29,336376522
34,29,28,28,28,336376540
33,29,28,28,28,336376558
33,29,28,28,28,336376575
33,29,28,28,29,336376593
34,29,28,28,29,336376611
34,29,28,28,28,336376629
33,29,28,28,29,336376647
33,29,28,28,28,336376665
33,29,28,28,29,336376682
33,29,28,28,29,336376700
33,29,28,28,29,336376718
33,29,28,28,28,336376736
33,29,28,28,28,336376754
33,29,28,28,29,336376771
33,29,28,28,28,336376789
33,29,28,28,29,336376807
33,30,28,28,29,336376825
33,29,28,28,29,336376843
33,29,28,28,29,336376860
33,29,28,28,29,336376878
33,29,28,29,28,336376896
33,29,28,28,29,336376914
33,29,28,28,29,336376932
33,29,28,28,29,336376950
33,29,28,28,29,336376967
33,29,28,28,29,336376985
33,29,28,28,29,336377003
33,29,28,28,28,336377021
33,30,27,28,29,336377039
33,29,28,28,28,336377056
