adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
34,29,28,28,29,314042215
33,29,28,28,29,314042232
33,29,28,28,29,314042250
33,29,28,28,29,314042268
33,29,28,28,29,314042286
33,29,28,28,29,314042304
33,29,28,28,29,314042321
33,29,28,28,29,314042339
34,29,28,28,29,314042357
34,29,28,28,29,314042375
33,29,28,28,29,314042393
33,29,28,28,29,314042410
33,29,28,28,29,314042428
33,29,28,28,29,314042446
33,29,28,28,29,314042464
33,29,28,28,29,314042482
33,29,28,28,29,314042500
33,29,28,28,29,314042517
33,29,28,28,29,314042535
33,29,28,28,29,314042553
33,29,28,28,29,314042571
33,29,28,28,29,314042589
33,29,28,28,29,314042606
33,29,28,28,29,314042624
33,29,28,28,29,314042642
33,29,28,28,29,314042660
33,29,28,28,29,314042678
34,29,28,28,29,314042695
33,29,28,28,29,314042713
33,29,28,28,29,314042731
33,29,28,28,29,314042749
33,29,28,28,29,314042767
33,29,28,28,29,314042785
34,29,28,28,29,314042802
33,29,28,28,29,314042820
34,29,29,28,29,314042838
33,28,28,28,29,314042856
33,29,28,28,29,314042874
33,29,28,28,29,314042891
33,29,28,28,29,314042909
33,29,28,28,29,314042927
33,29,28,28,29,314042945
33,29,28,28,29,314042963
33,29,27,28,29,314042980
34,29,28,28,29,314042998
34,29,28,28,29,314043016
34,29,28,28,29,314043034
34,30,28,28,29,314043052
33,29,28,28,29,314043070
34,29,28,28,29,314043087
34,29,28,28,29,314043105
34,29,28,28,29,314043123
33,30,28,28,29,314043141
33,29,28,28,29,314043159
34,29,28,28,29,314043176
34,29,29,28,29,314043194
33,29,28,28,29,314043212
32,29,28,28,29,314043230
33,29,28,28,29,314043248
33,29,29,28,29,314043265
34,29,28,28,29,314043283
33,29,28,28,29,314043301
34,29,28,28,29,314043319
34,29,29,28,29,314043337
34,29,29,28,29,314043355
34,29,28,28,29,314043372
33,30,28,28,29,314043390
34,28,28,28,29,314043408
33,29,28,28,29,314043426
34,29,28,28,29,314043444
34,29,28,28,29,314043461
34,30,28,28,29,314043479
33,29,28,28,29,314043497
34,29,28,28,29,314043515
33,29,28,28,29,314043533
34,29,28,28,29,314043550
34,29,28,28,29,314043568
34,29,28,28,29,314043586
34,29,28,28,29,314043604
34,29,28,28,29,314043622
34,29,29,28,29,314043640
33,29,28,28,29,314043657
34,29,28,28,29,314043675
34,29,28,28,29,314043693
33,29,28,28,29,314043711
34,29,28,28,29,314043729
33,29,28,28,29,314043746
33,29,28,28,29,314043764
34,29,28,28,29,314043782
34,29,28,28,29,314043800
34,29,28,28,29,314043818
34,29,28,28,29,314043836
34,29,28,28,29,314043853
34,29,28,28,29,314043871
34,29,28,28,29,314043889
34,29,28,28,29,314043907
34,29,28,28,29,314043925
34,29,28,28,29,314043942
34,29,28,28,29,314043960
34,29,28,28,29,314043978
34,29,28,28,29,314043996
33,29,28,28,29,314044014
33,29,28,28,29,314044031
33,29,28,29,29,314044049
34,29,29,28,29,314044067
33,29,28,28,29,314044085
33,30,28,28,29,314044103
33,29,28,28,29,314044121
34,28,29,28,29,314044138
33,29,28,28,29,314044156
34,29,28,28,29,314044174
34,29,28,28,29,314044192
34,29,28,28,29,314044210
34,29,28,28,29,314044227
33,29,28,28,29,314044245
33,29,28,28,29,314044263
34,29,28,28,29,314044281
34,29,28,28,29,314044299
33,29,28,28,29,314044316
34,29,28,28,29,314044334
34,29,28,28,29,314044352
34,29,28,28,29,314044370
34,29,28,28,29,314044388
33,29,28,28,29,314044406
