adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
34,29,28,28,29,89330039
34,29,28,28,29,89330057
34,29,28,28,29,89330075
33,29,29,28,29,89330092
34,29,28,28,29,89330110
33,29,28,28,29,89330128
34,28,28,28,29,89330146
34,29,28,28,29,89330164
34,29,28,28,29,89330181
34,29,28,29,29,89330199
33,29,28,27,29,89330217
33,29,28,28,29,89330235
33,29,28,28,29,89330253
34,29,28,28,29,89330271
33,29,28,28,29,89330288
33,29,27,28,29,89330306
34,29,28,28,29,89330324
33,29,28,28,29,89330342
34,29,28,28,29,89330360
33,29,28,28,29,89330377
33,29,28,28,29,89330395
33,29,28,28,29,89330413
33,29,28,28,29,89330431
33,29,28,28,29,89330449
33,29,28,28,29,89330466
33,29,28,28,29,89330484
34,30,28,28,29,89330502
33,29,28,28,29,89330520
34,29,28,28,29,89330538
34,29,28,28,29,89330556
33,29,28,27,29,89330573
33,29,28,29,29,89330591
33,29,28,28,29,89330609
33,29,29,28,29,89330627
34,29,28,28,29,89330645
33,29,28,28,28,89330662
34,29,28,28,28,89330680
33,29,28,28,29,89330698
34,29,28,28,29,89330716
34,29,28,28,29,89330734
34,29,28,28,29,89330752
34,29,28,28,29,89330769
33,29,28,28,29,89330787
34,29,28,28,29,89330805
33,29,28,28,29,89330823
33,29,28,28,28,89330841
34,29,28,28,29,89330858
34,29,28,28,29,89330876
34,29,28,28,29,89330894
33,29,28,28,29,89330912
34,29,28,28,29,89330930
33,29,28,28,29,89330947
34,29,28,28,29,89330965
33,29,28,28,29,89330983
34,29,28,28,29,89331001
34,29,28,28,29,89331019
35,29,28,28,29,89331037
34,29,29,28,29,89331054
34,29,28,28,29,89331072
33,29,28,28,29,89331090
34,29,28,28,29,89331108
34,29,28,28,29,89331126
34,29,29,28,29,89331143
34,28,28,28,29,89331161
34,29,29,28,29,89331179
34,29,28,28,29,89331197
34,29,28,28,29,89331215
33,29,28,28,29,89331232
34,29,27,28,29,89331250
34,29,28,28,29,89331268
34,29,28,28,28,89331286
34,29,28,28,29,89331304
33,29,28,29,30,89331322
34,29,28,28,29,89331339
34,29,28,28,29,89331357
34,29,28,28,29,89331375
33,29,28,28,29,89331393
34,29,28,28,29,89331411
32,28,28,28,29,89331428
34,29,28,28,29,89331446
34,29,28,28,29,89331464
34,29,28,28,29,89331482
34,30,28,29,30,89331500
33,29,28,28,29,89331517
34,29,28,28,29,89331535
34,29,28,28,29,89331553
34,29,28,28,29,89331571
34,29,28,28,29,89331589
34,29,28,28,29,89331607
34,30,28,28,29,89331624
34,29,28,28,29,89331642
34,29,28,28,29,89331660
34,29,28,28,29,89331678
33,29,28,28,29,89331696
34,29,28,28,29,89331713
33,29,28,28,29,89331731
34,29,28,28,29,89331749
34,29,28,28,29,89331767
34,29,28,28,30,89331785
34,29,28,28,29,89331802
34,29,28,28,29,89331820
34,29,28,28,29,89331838
34,29,28,28,29,89331856
34,29,28,28,29,89331874
34,29,28,28,29,89331892
34,29,28,28,29,89331909
34,29,28,28,29,89331927
34,29,28,28,29,89331945
33,29,28,28,29,89331963
34,29,28,28,29,89331981
34,29,28,28,28,89331998
33,29,28,28,29,89332016
33,29,28,28,29,89332034
34,29,28,28,29,89332052
33,29,28,28,29,89332070
34,29,28,28,29,89332087
34,29,28,28,29,89332105
33,29,28,28,29,89332123
34,29,28,28,28,89332141
33,29,28,28,29,89332159
34,29,28,28,29,89332177
34,29,28,28,29,89332194
34,29,28,28,29,89332212
33,29,28,28,29,89332230
34,29,28,28,29,89332248
34,29,28,28,29,89332266
33,29,28,28,28,89332283
33,29,28,28,29,89332301
33,29,28,28,29,89332319
34,29,28,28,28,89332337
33,29,28,28,29,89332355
34,29,28,28,29,89332373
33,29,28,28,29,89332390
34,28,27,28,29,89332408
34,29,28,28,29,89332426
34,29,28,28,29,89332444
34,29,28,28,29,89332462
34,29,28,28,29,89332479
34,29,28,28,29,89332497
33,29,28,28,29,89332515
34,29,29,28,29,89332533
34,29,28,28,29,89332551
33,29,28,28,29,89332568
33,29,28,28,29,89332586
33,28,28,28,29,89332604
34,29,28,28,29,89332622
33,29,28,28,29,89332640
34,29,28,28,29,89332658
34,29,28,28,29,89332675
34,30,28,28,29,89332693
34,29,28,28,29,89332711
34,29,28,29,29,89332729
33,29,28,28,29,89332747
34,29,28,28,28,89332764
34,29,28,28,29,89332782
34,29,28,28,29,89332800
34,29,28,28,29,89332818
34,29,28,28,29,89332836
34,29,28,28,29,89332853
33,29,28,28,29,89332871
34,29,28,28,29,89332889
34,29,28,28,29,89332907
33,29,28,28,28,89332925
34,29,28,27,29,89332943
34,29,28,28,29,89332960
34,29,28,28,29,89332978
34,29,28,28,29,89332996
33,29,28,28,29,89333014
34,29,28,28,29,89333032
34,29,28,28,29,89333049
34,29,28,28,29,89333067
34,29,28,28,29,89333085
34,29,28,27,28,89333103
34,29,28,28,29,89333121
34,29,28,28,29,89333139
